gauge_id,gauge_lat,gauge_lon,elev_mean,slope_mean,area_gages2,area_geospa_fabric,camels_name_huc_02,camels_name_gauge_name
"2137727",35.68583,-82.06028,602.18,65.11037,329.54,329.3,"3","CATAWBA R NR PLEASANT GARDENS, NC"
"2140991",35.83361,-81.71194,529.42,43.76522,521.99,522.11,"3","JOHNS RIVER AT ARNEYS STORE, NC"
"2149000",35.42345,-82.1115,403.91,39.54624,203.85,203.73,"3","COVE CREEK NEAR LAKE LURE, NC"
"3439000",35.14333,-82.82472,863.18,63.23118,178.67,178.18,"6","FRENCH BROAD RIVER AT ROSMAN, NC"
"3450000",35.65306,-82.40528,891.9,105.59692,14.08,14.13,"6","BEETREE CREEK NEAR SWANNANOA, NC"
"3455500",35.39611,-82.9375,1326.82,91.67733,72.95,71.47,"6","W F PIGEON R ABOVE LAKE LOGAN NR HAZELWOOD, NC"
"3456500",35.46167,-82.86972,1162.13,99.95219,133.43,137.33,"6","EAST FORK PIGEON RIVER NEAR CANTON, NC"
"3460000",35.6675,-83.07361,1254.53,116.23587,127.02,127.62,"6","CATALOOCHEE CREEK NEAR CATALOOCHEE, NC"
"3463300",35.83151,-82.18429,1025.66,112.34116,112.16,113.16,"6","SOUTH TOE RIVER NEAR CELO, NC"
"3479000",36.23917,-81.82222,1040.03,82.19102,235.6,237.77,"6","WATAUGA RIVER NEAR SUGAR GROVE, NC"
