OBJECTID,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,WarningMsg,HUCID,Edited,Shape_Length,Shape_Area,DRNAREA,OUTLETELEV,PRECIP,LFPLENGTH,ELEV,CSL10_85fm,BASINPERIM,I24H50Y,MINBELEV,BSLDEM30FT,ELEVMAX,OBJECTID_2,HydroID_2,DrainID_2,Name_2,Descript_2,HUCID_2,Latitude,Longitude,WarningMsg_2
1,,,B2,SS BP v1.6.0,1,,,,0,175980,689528700,24.7,2030.16,44.9901,11.17,2972.78,119.453,33.33,5.7132,2029.5,40.552,5158.01,1,,,B2,SS BP v1.6.0,6010105,731340,884100,
2,,,B5A,SS BP v1.6.0,1,,,,0,68160,129053700,4.63,2190.18,45.2055,3.9,3073.53,497.907,12.91,5.9793,2190.17,40.136,4934.8,2,,,B5A,SS BP v1.6.0,6010105,725430,961740,
3,,,B8,SS BP v1.6.0,1,,,,0,87420,216475200,7.76,2098.22,41.9907,5.23,2663.2,197.402,16.56,5.232,2097.91,33.3,3995.49,3,,,B8,SS BP v1.6.0,6010105,704850,943410,
4,,,B34,SS BP v1.6.0,1,,,,0,354180,2885009400,103,1980.07,46.3352,25.74,2695.77,33.909,67.08,6.0577,1960.76,30.084,5706.37,4,,,B34,SS BP v1.6.0,6010105,679050,930420,
5,,,B12A,SS BP v1.6.0,1,,,,0,105780,303091200,10.9,2001.67,50.2048,7.37,2571.46,85.25,20.03,6.6036,2001.67,32.83,4003.18,5,,,B12A,SS BP v1.6.0,6010105,656940,930810,
6,,,B1A,SS BP v1.6.0,1,,,,0,254220,1690516800,60.6,1956.22,45.7396,16.79,3312.68,88.302,48.15,6.1969,1956.22,41.827,6056.84,6,,,B1A,SS BP v1.6.0,6010105,761670,950700,
7,,,B5B,SS BP v1.6.0,1,,,,0,117420,363644100,13,2180.62,46.063,7.19,3287.56,306.541,22.24,6.0136,2179.41,41.182,5383.88,7,,,B5B,SS BP v1.6.0,6010105,725940,961200,
8,,,B1B,SS BP v1.6.0,1,,,,0,217980,1296015300,46.5,1957.24,43.1172,13.61,2666.1,43.906,41.28,5.6145,1956.27,36.639,4255.97,8,,,B1B,SS BP v1.6.0,6010105,761940,950760,
9,,,B40,SS BP v1.6.0,1,,,,0,10680,3943800,0.14,2182.16,38.2034,0.68,2428.12,988.726,2.02,4.9401,2182.16,31.881,2835.43,9,,,B40,SS BP v1.6.0,6010105,693210,950820,
10,,,B6A,SS BP v1.6.0,1,,,,0,1481100,28156715100,1010,1819.4,57.574,102.67,2664.13,3.853,280.51,7.6035,1819.23,27.257,6373.35,10,,,B6A,SS BP v1.6.0,6010105,723450,925770,
11,,,B9B,SS BP v1.6.0,1,,,,0,287880,2199893400,78.9,2131.18,51.6653,16.9,3282.1,91.103,54.52,6.6635,2131.18,37.686,6373.35,11,,,B9B,SS BP v1.6.0,6010105,694260,981720,
