river.basin,water.body,location,county,site.number,site.name,latitude,longitude,year,pH,Alk,Turb,TSS,Cond,PO4,NH3N,NO3N,Sed,Nut,Overall,VWIN.rating,rating.numeric
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2022,D,D,A,A,B,B,A,A,100,91.7,91.7,Excellent,5
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2021,D,C,A,A,B,B,A,A,100,91.7,91.7,Excellent,5
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2020,D,D,B,A,B,A,A,A,87.5,100,91.7,Excellent,5
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2019,A,D,B,A,B,B,A,A,87.5,91.7,87.5,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2018,A,D,B,A,B,B,A,A,87.5,91.7,87.5,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2017,A,C,B,B,B,B,A,A,75,91.7,83.4,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2016,A,C,B,B,B,B,A,A,75,91.7,83.4,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2015,A,C,B,B,B,B,A,A,75,91.7,83.4,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2014,A,C,B,A,B,B,A,A,87.5,91.7,87.5,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2013,A,C,B,A,B,B,A,A,87.5,91.7,87.5,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2012,A,C,B,A,B,C,A,A,87.5,83.3,83.3,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2011,A,C,A,A,B,C,A,A,100,83.3,87.5,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2010,A,C,C,B,B,B,A,B,62.5,83.3,75,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2009,A,B,C,B,B,A,A,B,62.5,91.7,79.2,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2008,A,B,C,B,B,A,A,B,62.5,91.7,79.2,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2007,A,B,C,B,B,A,A,B,62.5,91.7,79.2,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2006,A,C,C,B,B,B,A,B,62.5,83.3,75,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2005,A,C,C,B,B,B,A,B,62.5,83.3,75,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2004,A,C,C,B,B,B,A,B,62.5,83.3,75,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2003,A,C,C,B,B,C,A,B,62.5,75,70.8,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2002,A,C,B,B,B,C,A,B,75,75,75,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2001,A,C,C,A,B,C,A,B,75,75,75,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,2000,D,C,C,A,B,B,A,B,75,83.3,79.1,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,1999,D,C,C,A,B,B,A,B,75,83.3,79.1,Average,3
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,1998,D,C,C,A,B,A,A,A,75,100,87.5,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,1997,A,C,C,A,B,A,A,A,75,100,87.5,Good,4
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,1996,A,C,A,A,B,A,A,A,100,100,95.8,Excellent,5
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,1995,A,C,A,A,B,A,A,A,100,100,95.8,Excellent,5
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,1994,A,B,A,A,B,A,A,A,100,100,95.8,Excellent,5
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,1993,A,B,A,A,B,A,A,A,100,100,95.8,Excellent,5
French Broad,Bull Creek,Old Farm School Road,Buncombe,B10,Bull Creek at Old Farm School Road,35.60812,-82.45927,1992,A,B,A,A,B,A,A,A,100,100,95.8,Excellent,5
French Broad,Hominy Creek,Old Candler Town Rd and Beaverdam Rd,Buncombe,B11A,Hominy Creek at Old Candler Town Rd and Beaverdam Rd,35.535895,-82.692507,2001,D,B,C,C,C,C,A,B,50,75,62.5,Below Average,2
French Broad,Hominy Creek,Old Candler Town Rd and Beaverdam Rd,Buncombe,B11A,Hominy Creek at Old Candler Town Rd and Beaverdam Rd,35.535895,-82.692507,2000,D,B,D,D,C,B,A,B,25,83.3,58.3,Poor,1
French Broad,Hominy Creek,Old Candler Town Rd and Beaverdam Rd,Buncombe,B11A,Hominy Creek at Old Candler Town Rd and Beaverdam Rd,35.535895,-82.692507,1999,D,B,C,D,C,B,A,B,37.5,83.3,62.5,Below Average,2
French Broad,Hominy Creek,Old Candler Town Rd and Beaverdam Rd,Buncombe,B11A,Hominy Creek at Old Candler Town Rd and Beaverdam Rd,35.535895,-82.692507,1998,A,B,C,D,C,A,A,B,37.5,91.7,66.7,Below Average,2
French Broad,Hominy Creek,Old Candler Town Rd and Beaverdam Rd,Buncombe,B11A,Hominy Creek at Old Candler Town Rd and Beaverdam Rd,35.535895,-82.692507,1997,D,B,C,D,C,A,A,B,37.5,91.7,66.7,Below Average,2
French Broad,Hominy Creek,Old Candler Town Rd and Beaverdam Rd,Buncombe,B11A,Hominy Creek at Old Candler Town Rd and Beaverdam Rd,35.535895,-82.692507,1996,D,B,C,D,C,A,A,B,37.5,91.7,66.7,Below Average,2
French Broad,Hominy Creek,Old Candler Town Rd and Beaverdam Rd,Buncombe,B11A,Hominy Creek at Old Candler Town Rd and Beaverdam Rd,35.535895,-82.692507,1995,D,B,C,D,C,A,A,B,37.5,91.7,66.7,Below Average,2
French Broad,Hominy Creek,Old Candler Town Rd and Beaverdam Rd,Buncombe,B11A,Hominy Creek at Old Candler Town Rd and Beaverdam Rd,35.535895,-82.692507,1994,A,B,C,D,C,A,A,B,37.5,91.7,66.7,Below Average,2
