Parameter Code,Parameter Description,Value,Unit
Latitude,,35.32596,
Longitude,,-82.45153,
BASINPERIM,Basin perimeter measured along entire drainage-basin divide,33.69,miles
BSLDEM30FT,"Mean basin slope, based on slope percent grid",9.842,percent
CSL10_85fm,Change in elevation between points 10 and 85 percent of length along main channel to basin divide divided by length between points ft per mi,27.247,feet per mi
DRNAREA,Area that drains to a point on a stream,15.6,square miles
ELEV,Mean Basin Elevation,2216.75,feet
ELEVMAX,Maximum basin elevation,2970.18,feet
I24H50Y,Maximum 24-hour precipitation that occurs on average once in 50 years,7.6424,inches
LC01BARE,"Percentage of area barren land, NLCD 2001 category 31",0.04,percent
LC01CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2001",22.51,percent
LC01DEV,Percentage of land-use from NLCD 2001 classes 21-24,48.18,percent
LC01FOREST,Percentage of forest from NLCD 2001 classes 41-43,25.67,percent
LC01HERB,Percentage of herbaceous upland from NLCD 2001 class 71,1.71,percent
LC01IMP,Percent imperviousness of basin area 2001 NLCD,8.24,percent
LC01SHRUB,Percent of area covered by shrubland using 2001 NLCD,0.79,percent
LC01WATER,"Percentage of open water, class 11, from NLCD 2001",0.34,percent
LC01WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2001",0.74,percent
LC06BARE,Percent of area covered by barren rock using 2006 NLCD,0.04,percent
LC06DEV,Percentage of land-use from NLCD 2006 classes 21-24,49.63,percent
LC06FOREST,Percentage of forest from NLCD 2006 classes 41-43,25.33,percent
LC06GRASS,Percent of area covered by grassland/herbaceous using 2006 NLCD,1.67,percent
LC06IMP,Percentage of impervious area determined from NLCD 2006 impervious dataset,9.14,percent
LC06PLANT,Percent of area in cultivation using 2006 NLCD,21.5,percent
LC06SHRUB,Percent of area covered by shrubland using 2006 NLCD,0.74,percent
LC06WATER,"Percent of open water, class 11, from NLCD 2006",0.34,percent
LC06WETLND,Percent of area covered by wetland using 2006 NLCD,0.74,percent
LC11BARE,Percentage of barren from NLCD 2011 class 31,0.07,percent
LC11CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",20.36,percent
LC11DEV,Percentage of developed (urban) land from NLCD 2011 classes 21-24,51.05,percent
LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,25.03,percent
LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,1.59,percent
LC11IMP,Average percentage of impervious area determined from NLCD 2011 impervious dataset,9.92,percent
LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,0.83,percent
LC11WATER,"Percent of open water, class 11, from NLCD 2011",0.34,percent
LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",0.73,percent
LC92FOREST,Percentage of forest from NLCD 1992 classes 41-43,41.6,percent
LFPLENGTH,Length of longest flow path,9.3,miles
LU92BARE,Percent of area covered by barren rock using 1992 NLCD,0.02,percent
LU92DEV,Percent of area covered by all densities of developed land using 1992 NLCD,24.53,percent
LU92PLANT,Percent of area in cultivation using 1992 NLCD,33.43,percent
LU92WATER,Percent of area covered by water using 1992 NLCD,0.36,percent
LU92WETLN,Percent of area covered by wetland using 1992 NLCD,0.06,percent
MINBELEV,Minimum basin elevation,2073.45,feet
OUTLETELEV,Elevation of the stream outlet in feet above NAVD88,2075.77,feet
PCTREG1,Percentage of drainage area located in Region 1 - Piedmont / Ridge and Valley,0,percent
PCTREG2,Percentage of drainage area located in Region 2 - Blue Ridge,100,percent
PCTREG3,Percentage of drainage area located in Region 3 - Sandhills,0,percent
PCTREG4,Percentage of drainage area located in Region 4 - Coastal Plains,0,percent
PCTREG5,Percentage of drainage area located in Region 5 - Lower Tifton Uplands,0,percent
PRECIP,Mean Annual Precipitation,61.4486,inches
PROTECTED,Percent of area of protected Federal and State owned land,0,percent
SSURGOA,Percentage of area of Hydrologic Soil Type A from SSURGO,0,percent
SSURGOB,Percentage of area of Hydrologic Soil Type B from SSURGO,84.95,percent
SSURGOC,Percentage of area of Hydrologic Soil Type C from SSURGO,9.05,percent
SSURGOD,Percentage of area of Hydrologic Soil Type D from SSURGO,5.24,percent
